REGWLD,EVCHANGE,SCEN,Value
MDG,EVpct,NATPES,0.10263580829
MEAS_NAfr,EVpct,NATPES,0.13139790297
MEX,EVpct,NATPES,-5.96229394432157E-0004
MYS,EVpct,NATPES,-0.032831642777
NGA,EVpct,NATPES,4.99958777800202E-0003
Oceania,EVpct,NATPES,0.015834188089
Oth_CEE_CIS,EVpct,NATPES,0.03092600219
Oth_Europe,EVpct,NATPES,0.024210207164
PAK,EVpct,NATPES,-0.037301778793
PHL,EVpct,NATPES,0.042940981686
POL,EVpct,NATPES,0.072852820158
R_S_Asia,EVpct,NATPES,0.026715360582
R_SE_Asia,EVpct,NATPES,-5.28879696503282E-0003
Russia,EVpct,NATPES,0.04267501086
S_o_Amer,EVpct,NATPES,0.030213633552
S_S_AFR,EVpct,NATPES,-0.037280205637
TUR,EVpct,NATPES,0.011741360649
USA,EVpct,NATPES,2.41094315424562E-0003
VNM,EVpct,NATPES,0.06990493089
XAC,EVpct,NATPES,0.10300435871
ZAF,EVpct,NATPES,-0.019693559036
World,EVpct,NATPES,0.020385043696
ARG,EVval,NATPES,-89.797798157
BGD,EVval,NATPES,-81.413139343
BRAZIL,EVval,NATPES,-407.13262939
C_C_Amer,EVval,NATPES,33.658981323
CAN,EVval,NATPES,-12.265966415
CHIHKG,EVval,NATPES,4954.4208984
COL,EVval,NATPES,146.47099304
E_Asia,EVval,NATPES,69.60848999
EGY,EVval,NATPES,1750.0218506
ETH,EVval,NATPES,-26.517662048
EU27,EVval,NATPES,563.5489502
IDN,EVval,NATPES,821.60473633
INDIA,EVval,NATPES,681.17132568
JAPAN,EVval,NATPES,101.92237854
KOR,EVval,NATPES,-5.4837584496
MAR,EVval,NATPES,-11.593755722
MDG,EVval,NATPES,18.501815796
MEAS_NAfr,EVval,NATPES,5583.9511719
MEX,EVval,NATPES,-8.3098106384
MYS,EVval,NATPES,-140.17469788
NGA,EVval,NATPES,75.126434326
Oceania,EVval,NATPES,422.93731689
Oth_CEE_CIS,EVval,NATPES,420.35980225
Oth_Europe,EVval,NATPES,327.33108521
PAK,EVval,NATPES,-88.030342102
