ENDW,AREGWLD,ENDWRES,SCEN,Value
AEZ17,MidIncome,pe,BAU_aES,-1.8575731516
AEZ18,MidIncome,pe,BAU_aES,-2.3800008297
UnSkLab,MidIncome,pe,BAU_aES,-0.77284359932
SkLab,MidIncome,pe,BAU_aES,-0.7139351368
Capital,MidIncome,pe,BAU_aES,-0.60336315632
NatRes,MidIncome,pe,BAU_aES,5.3437261581
AEZ1,LowIncome,pe,BAU_aES,-2.6822941303
AEZ2,LowIncome,pe,BAU_aES,-2.7116026878
AEZ3,LowIncome,pe,BAU_aES,-2.9953484535
AEZ4,LowIncome,pe,BAU_aES,-2.8771924973
AEZ5,LowIncome,pe,BAU_aES,-2.7407212257
AEZ6,LowIncome,pe,BAU_aES,-3.3940370083
AEZ7,LowIncome,pe,BAU_aES,-3.1457643509
AEZ8,LowIncome,pe,BAU_aES,-3.3977813721
AEZ9,LowIncome,pe,BAU_aES,-2.4316313267
AEZ10,LowIncome,pe,BAU_aES,-1.6126843691
AEZ11,LowIncome,pe,BAU_aES,-2.0408840179
AEZ12,LowIncome,pe,BAU_aES,-1.8436183929
AEZ13,LowIncome,pe,BAU_aES,-2.3258545399
AEZ14,LowIncome,pe,BAU_aES,-0.40839910507
AEZ15,LowIncome,pe,BAU_aES,-0.187816903
AEZ16,LowIncome,pe,BAU_aES,-1.2325532436
AEZ17,LowIncome,pe,BAU_aES,-2.6071748734
AEZ18,LowIncome,pe,BAU_aES,-2.6229674816
UnSkLab,LowIncome,pe,BAU_aES,-0.20434826612
SkLab,LowIncome,pe,BAU_aES,-0.18855907023
Capital,LowIncome,pe,BAU_aES,-0.2451197505
NatRes,LowIncome,pe,BAU_aES,4.8996105194
AEZ1,World,pe,BAU_aES,-1.0428911448
AEZ2,World,pe,BAU_aES,0.19064968824
AEZ3,World,pe,BAU_aES,-1.3202546835
AEZ4,World,pe,BAU_aES,-1.0443632603
AEZ5,World,pe,BAU_aES,0.63716697693
AEZ6,World,pe,BAU_aES,2.6285040379
AEZ7,World,pe,BAU_aES,-1.5622031689
