REGWLD,GDPS,SCEN,Value
MEAS_NAfr,RealGDPvalch,BAU_noES,789719.375
MEX,RealGDPvalch,BAU_noES,406752.875
MYS,RealGDPvalch,BAU_noES,155031.125
NGA,RealGDPvalch,BAU_noES,630810.0625
Oceania,RealGDPvalch,BAU_noES,657461.75
Oth_CEE_CIS,RealGDPvalch,BAU_noES,535318.875
Oth_Europe,RealGDPvalch,BAU_noES,246214.65625
PAK,RealGDPvalch,BAU_noES,97277.234375
PHL,RealGDPvalch,BAU_noES,198752.75
POL,RealGDPvalch,BAU_noES,262374.125
R_S_Asia,RealGDPvalch,BAU_noES,60053.457031
R_SE_Asia,RealGDPvalch,BAU_noES,329551.65625
Russia,RealGDPvalch,BAU_noES,864231.6875
S_o_Amer,RealGDPvalch,BAU_noES,364241.03125
S_S_AFR,RealGDPvalch,BAU_noES,402532.53125
TUR,RealGDPvalch,BAU_noES,455942.90625
USA,RealGDPvalch,BAU_noES,3192594
VNM,RealGDPvalch,BAU_noES,116734.74219
XAC,RealGDPvalch,BAU_noES,159418.95313
ZAF,RealGDPvalch,BAU_noES,139826.04688
World,RealGDPvalch,BAU_noES,28776048
ARG,NomGDPvalch,BAU_noES,62342.8125
BGD,NomGDPvalch,BAU_noES,78530.15625
BRAZIL,NomGDPvalch,BAU_noES,456254
C_C_Amer,NomGDPvalch,BAU_noES,93914.625
CAN,NomGDPvalch,BAU_noES,551258.125
CHIHKG,NomGDPvalch,BAU_noES,4580844
COL,NomGDPvalch,BAU_noES,134803.21875
E_Asia,NomGDPvalch,BAU_noES,52867.8125
EGY,NomGDPvalch,BAU_noES,151979.125
ETH,NomGDPvalch,BAU_noES,27498.648438
EU27,NomGDPvalch,BAU_noES,733178
IDN,NomGDPvalch,BAU_noES,159929.375
INDIA,NomGDPvalch,BAU_noES,333730
JAPAN,NomGDPvalch,BAU_noES,-233965.5
KOR,NomGDPvalch,BAU_noES,121681.75
MAR,NomGDPvalch,BAU_noES,20918.539063
MDG,NomGDPvalch,BAU_noES,5541.7636719
MEAS_NAfr,NomGDPvalch,BAU_noES,1207783.25
MEX,NomGDPvalch,BAU_noES,200342.75
MYS,NomGDPvalch,BAU_noES,91167.03125
NGA,NomGDPvalch,BAU_noES,708790.3125
Oceania,NomGDPvalch,BAU_noES,896841.125
Oth_CEE_CIS,NomGDPvalch,BAU_noES,398934.875
Oth_Europe,NomGDPvalch,BAU_noES,220533.75
PAK,NomGDPvalch,BAU_noES,-1917.78125
PHL,NomGDPvalch,BAU_noES,127786.6875
POL,NomGDPvalch,BAU_noES,110528.0625
R_S_Asia,NomGDPvalch,BAU_noES,36147.90625
R_SE_Asia,NomGDPvalch,BAU_noES,54531.3125
Russia,NomGDPvalch,BAU_noES,1165876.5
S_o_Amer,NomGDPvalch,BAU_noES,353758.75
S_S_AFR,NomGDPvalch,BAU_noES,368202.875
TUR,NomGDPvalch,BAU_noES,175025.1875
USA,NomGDPvalch,BAU_noES,1792412
VNM,NomGDPvalch,BAU_noES,93290.796875
XAC,NomGDPvalch,BAU_noES,244557.0625
ZAF,NomGDPvalch,BAU_noES,75008.6875
World,NomGDPvalch,BAU_noES,15650908
ARG,GDPpct,BAU_aES,7.63457827270031E-0003
BGD,GDPpct,BAU_aES,-2.0813808441
BRAZIL,GDPpct,BAU_aES,-0.044694043696
C_C_Amer,GDPpct,BAU_aES,-0.17958281934
CAN,GDPpct,BAU_aES,4.21739090234041E-0003
CHIHKG,GDPpct,BAU_aES,-0.29308238626
COL,GDPpct,BAU_aES,0.050142563879
E_Asia,GDPpct,BAU_aES,0.011054211296
EGY,GDPpct,BAU_aES,-0.54422402382
ETH,GDPpct,BAU_aES,-0.32532665133
EU27,GDPpct,BAU_aES,1.75774202216417E-0003
IDN,GDPpct,BAU_aES,-0.35774037242
INDIA,GDPpct,BAU_aES,-0.17929404974
JAPAN,GDPpct,BAU_aES,-0.039166405797
KOR,GDPpct,BAU_aES,-0.11100675911
MAR,GDPpct,BAU_aES,0.2476426512
MDG,GDPpct,BAU_aES,-1.0554507971
MEAS_NAfr,GDPpct,BAU_aES,0.073612675071
MEX,GDPpct,BAU_aES,8.70550330728292E-0003
MYS,GDPpct,BAU_aES,-0.37189304829
NGA,GDPpct,BAU_aES,-0.077327623963
Oceania,GDPpct,BAU_aES,0.082170508802
Oth_CEE_CIS,GDPpct,BAU_aES,-0.021261498332
Oth_Europe,GDPpct,BAU_aES,-0.069630347192
PAK,GDPpct,BAU_aES,0.19437851012
PHL,GDPpct,BAU_aES,0.26208159328
POL,GDPpct,BAU_aES,-0.086878977716
R_S_Asia,GDPpct,BAU_aES,-0.51466065645
R_SE_Asia,GDPpct,BAU_aES,-0.16299690306
Russia,GDPpct,BAU_aES,0.060096152127
S_o_Amer,GDPpct,BAU_aES,-0.071038194001
S_S_AFR,GDPpct,BAU_aES,0.032336525619
TUR,GDPpct,BAU_aES,-0.07238534838
USA,GDPpct,BAU_aES,-7.07269972190261E-0003
VNM,GDPpct,BAU_aES,-0.091372549534
XAC,GDPpct,BAU_aES,1.2638400793
ZAF,GDPpct,BAU_aES,-0.016935775056
World,GDPpct,BAU_aES,-0.07194468379
ARG,RealGDPvalch,BAU_aES,51.157550812
BGD,RealGDPvalch,BAU_aES,-6042.2709961
BRAZIL,RealGDPvalch,BAU_aES,-1415.4414063
C_C_Amer,RealGDPvalch,BAU_aES,-1318.3171387
CAN,RealGDPvalch,BAU_aES,109.70671844
CHIHKG,RealGDPvalch,BAU_aES,-55776.125
COL,RealGDPvalch,BAU_aES,279.759552
E_Asia,RealGDPvalch,BAU_aES,18.225933075
EGY,RealGDPvalch,BAU_aES,-2969.8833008
ETH,RealGDPvalch,BAU_aES,-314.13327026
EU27,RealGDPvalch,BAU_aES,343.79699707
IDN,RealGDPvalch,BAU_aES,-4165.2143555
