REGWLD,GDPS,SCEN,Value
PHL,GDPpct,BAU_aECOLLPS,-7.94115448
POL,GDPpct,BAU_aECOLLPS,-0.74236172438
R_S_Asia,GDPpct,BAU_aECOLLPS,-5.1024475098
R_SE_Asia,GDPpct,BAU_aECOLLPS,-3.4817552567
Russia,GDPpct,BAU_aECOLLPS,-0.41649103165
S_o_Amer,GDPpct,BAU_aECOLLPS,-3.3792033195
S_S_AFR,GDPpct,BAU_aECOLLPS,-9.2891149521
TUR,GDPpct,BAU_aECOLLPS,-2.0617301464
USA,GDPpct,BAU_aECOLLPS,-0.43385946751
VNM,GDPpct,BAU_aECOLLPS,-8.6627120972
XAC,GDPpct,BAU_aECOLLPS,-19.465463638
ZAF,GDPpct,BAU_aECOLLPS,-0.26197063923
World,GDPpct,BAU_aECOLLPS,-1.9421157837
ARG,RealGDPvalch,BAU_aECOLLPS,-16426.988281
BGD,RealGDPvalch,BAU_aECOLLPS,-44814.160156
BRAZIL,RealGDPvalch,BAU_aECOLLPS,-116340.5
C_C_Amer,RealGDPvalch,BAU_aECOLLPS,-18536.837891
CAN,RealGDPvalch,BAU_aECOLLPS,-16115.244141
CHIHKG,RealGDPvalch,BAU_aECOLLPS,-597995.3125
COL,RealGDPvalch,BAU_aECOLLPS,-10285.97168
E_Asia,RealGDPvalch,BAU_aECOLLPS,-355.87915039
EGY,RealGDPvalch,BAU_aECOLLPS,-22711.628906
ETH,RealGDPvalch,BAU_aECOLLPS,-11969.042969
EU27,RealGDPvalch,BAU_aECOLLPS,-69508.84375
IDN,RealGDPvalch,BAU_aECOLLPS,-79501.242188
INDIA,RealGDPvalch,BAU_aECOLLPS,-112423.44531
JAPAN,RealGDPvalch,BAU_aECOLLPS,-27849.689453
KOR,RealGDPvalch,BAU_aECOLLPS,-21181.544922
MAR,RealGDPvalch,BAU_aECOLLPS,-3864.9768066
MDG,RealGDPvalch,BAU_aECOLLPS,-29267.744141
MEAS_NAfr,RealGDPvalch,BAU_aECOLLPS,-55636.554688
MEX,RealGDPvalch,BAU_aECOLLPS,-13919.740234
MYS,RealGDPvalch,BAU_aECOLLPS,-20587.015625
NGA,RealGDPvalch,BAU_aECOLLPS,-131712.46875
Oceania,RealGDPvalch,BAU_aECOLLPS,-16999.685547
Oth_CEE_CIS,RealGDPvalch,BAU_aECOLLPS,-28796.320313
Oth_Europe,RealGDPvalch,BAU_aECOLLPS,-16699.378906
PAK,RealGDPvalch,BAU_aECOLLPS,-35725
PHL,RealGDPvalch,BAU_aECOLLPS,-39231.019531
POL,RealGDPvalch,BAU_aECOLLPS,-5567.4667969
R_S_Asia,RealGDPvalch,BAU_aECOLLPS,-9531.109375
R_SE_Asia,RealGDPvalch,BAU_aECOLLPS,-34023.320313
Russia,RealGDPvalch,BAU_aECOLLPS,-15028.879883
S_o_Amer,RealGDPvalch,BAU_aECOLLPS,-58218.558594
S_S_AFR,RealGDPvalch,BAU_aECOLLPS,-106016.82813
TUR,RealGDPvalch,BAU_aECOLLPS,-23397.03125
USA,RealGDPvalch,BAU_aECOLLPS,-88884.539062
VNM,RealGDPvalch,BAU_aECOLLPS,-28381.570313
XAC,RealGDPvalch,BAU_aECOLLPS,-93256.765625
ZAF,RealGDPvalch,BAU_aECOLLPS,-1248.5828857
World,RealGDPvalch,BAU_aECOLLPS,-2022010.875
ARG,NomGDPvalch,BAU_aECOLLPS,23376.875
BGD,NomGDPvalch,BAU_aECOLLPS,28973.8125
BRAZIL,NomGDPvalch,BAU_aECOLLPS,-158955.5
C_C_Amer,NomGDPvalch,BAU_aECOLLPS,1945.25
CAN,NomGDPvalch,BAU_aECOLLPS,42149.25
CHIHKG,NomGDPvalch,BAU_aECOLLPS,-794456
COL,NomGDPvalch,BAU_aECOLLPS,-8367.5
E_Asia,NomGDPvalch,BAU_aECOLLPS,-3760.59375
EGY,NomGDPvalch,BAU_aECOLLPS,-10196.375
ETH,NomGDPvalch,BAU_aECOLLPS,54342.953125
EU27,NomGDPvalch,BAU_aECOLLPS,-236070
IDN,NomGDPvalch,BAU_aECOLLPS,-157796.25
INDIA,NomGDPvalch,BAU_aECOLLPS,12499.75
JAPAN,NomGDPvalch,BAU_aECOLLPS,-157816
KOR,NomGDPvalch,BAU_aECOLLPS,-60691.625
MAR,NomGDPvalch,BAU_aECOLLPS,9818.5625
MDG,NomGDPvalch,BAU_aECOLLPS,368050.5625
MEAS_NAfr,NomGDPvalch,BAU_aECOLLPS,94791.5
MEX,NomGDPvalch,BAU_aECOLLPS,-11381.625
MYS,NomGDPvalch,BAU_aECOLLPS,-36612.3125
NGA,NomGDPvalch,BAU_aECOLLPS,-15632.25
Oceania,NomGDPvalch,BAU_aECOLLPS,121191.75
Oth_CEE_CIS,NomGDPvalch,BAU_aECOLLPS,66017.5
Oth_Europe,NomGDPvalch,BAU_aECOLLPS,-17620
PAK,NomGDPvalch,BAU_aECOLLPS,-36130.34375
PHL,NomGDPvalch,BAU_aECOLLPS,-15160.59375
POL,NomGDPvalch,BAU_aECOLLPS,-11306
R_S_Asia,NomGDPvalch,BAU_aECOLLPS,3211.671875
R_SE_Asia,NomGDPvalch,BAU_aECOLLPS,-46180.0625
Russia,NomGDPvalch,BAU_aECOLLPS,65750
S_o_Amer,NomGDPvalch,BAU_aECOLLPS,-56543.375
S_S_AFR,NomGDPvalch,BAU_aECOLLPS,-3239.5
TUR,NomGDPvalch,BAU_aECOLLPS,-31797
USA,NomGDPvalch,BAU_aECOLLPS,-115104
VNM,NomGDPvalch,BAU_aECOLLPS,-28621.5
XAC,NomGDPvalch,BAU_aECOLLPS,140651.75
ZAF,NomGDPvalch,BAU_aECOLLPS,19183.59375
World,NomGDPvalch,BAU_aECOLLPS,-961483.625
