ACOM,AREG,AREG,TRADERES,SCEN,Value
Services,HighIncome,LowIncome,qxs,BAU_aES,0.93131864071
AgrFishFor,MidIncome,LowIncome,qxs,BAU_aES,-1.2042199373
MinManuf,MidIncome,LowIncome,qxs,BAU_aES,0.11016438156
Services,MidIncome,LowIncome,qxs,BAU_aES,0.40606492758
AgrFishFor,LowIncome,LowIncome,qxs,BAU_aES,0.53278702497
MinManuf,LowIncome,LowIncome,qxs,BAU_aES,-9.08463262021542E-0003
Services,LowIncome,LowIncome,qxs,BAU_aES,-0.067749381065
AgrFishFor,HighIncome,HighIncome,pfob,BAU_aES,0.11353899539
MinManuf,HighIncome,HighIncome,pfob,BAU_aES,1.3213803768
Services,HighIncome,HighIncome,pfob,BAU_aES,-0.35062906146
AgrFishFor,MidIncome,HighIncome,pfob,BAU_aES,-0.01814105548
MinManuf,MidIncome,HighIncome,pfob,BAU_aES,0.9307885766
Services,MidIncome,HighIncome,pfob,BAU_aES,-0.29368829727
AgrFishFor,LowIncome,HighIncome,pfob,BAU_aES,-0.27734154463
MinManuf,LowIncome,HighIncome,pfob,BAU_aES,0.50442832708
Services,LowIncome,HighIncome,pfob,BAU_aES,-0.14225548506
AgrFishFor,HighIncome,MidIncome,pfob,BAU_aES,-0.21103784442
MinManuf,HighIncome,MidIncome,pfob,BAU_aES,1.1385784149
Services,HighIncome,MidIncome,pfob,BAU_aES,-0.39370369911
AgrFishFor,MidIncome,MidIncome,pfob,BAU_aES,0.15597507358
MinManuf,MidIncome,MidIncome,pfob,BAU_aES,1.1989308596
Services,MidIncome,MidIncome,pfob,BAU_aES,-0.24415059388
AgrFishFor,LowIncome,MidIncome,pfob,BAU_aES,-0.30180293322
MinManuf,LowIncome,MidIncome,pfob,BAU_aES,0.75088572502
Services,LowIncome,MidIncome,pfob,BAU_aES,-0.14096270502
AgrFishFor,HighIncome,LowIncome,pfob,BAU_aES,0.18959245086
MinManuf,HighIncome,LowIncome,pfob,BAU_aES,0.88581448793
Services,HighIncome,LowIncome,pfob,BAU_aES,-0.39690694213
