ENDW,AACT,AREGWLD,FACRES,SCEN,Value
Capital,MinManuf,LowIncome,pfe,BAU,-6.6631922722
NatRes,MinManuf,LowIncome,pfe,BAU,79.322692871
AEZ1,Services,LowIncome,pfe,BAU,10.71030426
AEZ2,Services,LowIncome,pfe,BAU,10.743355751
AEZ3,Services,LowIncome,pfe,BAU,10.707835197
AEZ4,Services,LowIncome,pfe,BAU,11.025919914
AEZ5,Services,LowIncome,pfe,BAU,11.287090302
AEZ6,Services,LowIncome,pfe,BAU,11.612605095
AEZ7,Services,LowIncome,pfe,BAU,10.609376907
AEZ8,Services,LowIncome,pfe,BAU,11.324642181
AEZ9,Services,LowIncome,pfe,BAU,11.782042503
AEZ10,Services,LowIncome,pfe,BAU,11.76853466
AEZ11,Services,LowIncome,pfe,BAU,12.345862389
AEZ12,Services,LowIncome,pfe,BAU,12.133153915
AEZ13,Services,LowIncome,pfe,BAU,11.084568024
AEZ14,Services,LowIncome,pfe,BAU,11.738004684
AEZ15,Services,LowIncome,pfe,BAU,11.830949783
AEZ16,Services,LowIncome,pfe,BAU,11.300913811
AEZ17,Services,LowIncome,pfe,BAU,11.498193741
AEZ18,Services,LowIncome,pfe,BAU,11.247815132
UnSkLab,Services,LowIncome,pfe,BAU,4.5628457069
SkLab,Services,LowIncome,pfe,BAU,4.1723299026
Capital,Services,LowIncome,pfe,BAU,-6.5937466621
NatRes,Services,LowIncome,pfe,BAU,44.215076447
AEZ1,AgrFishFor,World,pfe,BAU,102.32681274
AEZ2,AgrFishFor,World,pfe,BAU,173.1423645
AEZ3,AgrFishFor,World,pfe,BAU,96.011299133
AEZ4,AgrFishFor,World,pfe,BAU,110.69402313
AEZ5,AgrFishFor,World,pfe,BAU,126.62297058
AEZ6,AgrFishFor,World,pfe,BAU,64.159835815
AEZ7,AgrFishFor,World,pfe,BAU,86.576850891
AEZ8,AgrFishFor,World,pfe,BAU,45.526390076
AEZ9,AgrFishFor,World,pfe,BAU,40.918907166
AEZ10,AgrFishFor,World,pfe,BAU,36.516620636
AEZ11,AgrFishFor,World,pfe,BAU,41.142292023
AEZ12,AgrFishFor,World,pfe,BAU,32.960720062
AEZ13,AgrFishFor,World,pfe,BAU,46.389778137
AEZ14,AgrFishFor,World,pfe,BAU,33.396507263
AEZ15,AgrFishFor,World,pfe,BAU,36.489776611
AEZ16,AgrFishFor,World,pfe,BAU,60.921966553
AEZ17,AgrFishFor,World,pfe,BAU,52.550468445
AEZ18,AgrFishFor,World,pfe,BAU,51.867103577
UnSkLab,AgrFishFor,World,pfe,BAU,7.4521799088
SkLab,AgrFishFor,World,pfe,BAU,4.4595537186
Capital,AgrFishFor,World,pfe,BAU,-10.162806511
NatRes,AgrFishFor,World,pfe,BAU,108.48625946
AEZ1,MinManuf,World,pfe,BAU,102.32681274
AEZ2,MinManuf,World,pfe,BAU,173.1423645
AEZ3,MinManuf,World,pfe,BAU,96.011299133
AEZ4,MinManuf,World,pfe,BAU,110.69402313
AEZ5,MinManuf,World,pfe,BAU,126.62297058
AEZ6,MinManuf,World,pfe,BAU,64.159835815
AEZ7,MinManuf,World,pfe,BAU,86.576850891
AEZ8,MinManuf,World,pfe,BAU,45.526390076
AEZ9,MinManuf,World,pfe,BAU,40.918907166
AEZ10,MinManuf,World,pfe,BAU,36.516620636
AEZ11,MinManuf,World,pfe,BAU,41.142292023
AEZ12,MinManuf,World,pfe,BAU,32.960720062
AEZ13,MinManuf,World,pfe,BAU,46.389778137
AEZ14,MinManuf,World,pfe,BAU,33.396507263
AEZ15,MinManuf,World,pfe,BAU,36.489776611
AEZ16,MinManuf,World,pfe,BAU,60.921966553
AEZ17,MinManuf,World,pfe,BAU,52.550468445
AEZ18,MinManuf,World,pfe,BAU,51.867103577
UnSkLab,MinManuf,World,pfe,BAU,7.4521799088
SkLab,MinManuf,World,pfe,BAU,4.4595537186
Capital,MinManuf,World,pfe,BAU,-10.162806511
NatRes,MinManuf,World,pfe,BAU,108.48625946
AEZ1,Services,World,pfe,BAU,102.32681274
AEZ2,Services,World,pfe,BAU,173.1423645
AEZ3,Services,World,pfe,BAU,96.011299133
AEZ4,Services,World,pfe,BAU,110.69402313
AEZ5,Services,World,pfe,BAU,126.62297058
AEZ6,Services,World,pfe,BAU,64.159835815
AEZ7,Services,World,pfe,BAU,86.576850891
AEZ8,Services,World,pfe,BAU,45.526390076
AEZ9,Services,World,pfe,BAU,40.918907166
AEZ10,Services,World,pfe,BAU,36.516620636
AEZ11,Services,World,pfe,BAU,41.142292023
AEZ12,Services,World,pfe,BAU,32.960720062
AEZ13,Services,World,pfe,BAU,46.389778137
AEZ14,Services,World,pfe,BAU,33.396507263
AEZ15,Services,World,pfe,BAU,36.489776611
AEZ16,Services,World,pfe,BAU,60.921966553
AEZ17,Services,World,pfe,BAU,52.550468445
AEZ18,Services,World,pfe,BAU,51.867103577
UnSkLab,Services,World,pfe,BAU,7.4521799088
SkLab,Services,World,pfe,BAU,4.4595537186
Capital,Services,World,pfe,BAU,-10.162806511
NatRes,Services,World,pfe,BAU,108.48625946
AEZ1,AgrFishFor,HighIncome,qfe,BAU,0.44903457165
AEZ2,AgrFishFor,HighIncome,qfe,BAU,0.7090126276
AEZ3,AgrFishFor,HighIncome,qfe,BAU,2.6352739334
AEZ4,AgrFishFor,HighIncome,qfe,BAU,2.9019906521
AEZ5,AgrFishFor,HighIncome,qfe,BAU,1.8784751892
AEZ6,AgrFishFor,HighIncome,qfe,BAU,0.41181564331
AEZ7,AgrFishFor,HighIncome,qfe,BAU,0.11237366498
AEZ8,AgrFishFor,HighIncome,qfe,BAU,0.058705404401
AEZ9,AgrFishFor,HighIncome,qfe,BAU,0.92119467258
AEZ10,AgrFishFor,HighIncome,qfe,BAU,0.098337300122
AEZ11,AgrFishFor,HighIncome,qfe,BAU,0.10048517585
AEZ12,AgrFishFor,HighIncome,qfe,BAU,-0.018880307674
AEZ13,AgrFishFor,HighIncome,qfe,BAU,-0.031501960009
AEZ14,AgrFishFor,HighIncome,qfe,BAU,0.056558806449
AEZ15,AgrFishFor,HighIncome,qfe,BAU,0.11520399153
AEZ16,AgrFishFor,HighIncome,qfe,BAU,0.07186614722
